Client_ID,Total_Tradelines_6m_In,Total_Tradelines_1y_In,Total_Tradelines_2y_In,Max_Trade_3m_Out
106868,8.0,8,10,4812
100195,8.0,8,27,7917
118114,14.0,23,23,1318
117608,3.0,11,37,6202
124969,12.0,12,25,13583
114293,10.0,27,27,17077
102493,0.0,9,15,12298
113674,5.0,13,16,12304
102809,6.0,27,29,17685
116327,2.0,17,22,3806
117505,14.0,18,18,11142
102397,15.0,15,20,2207
108660,7.0,8,17,13009
108428,12.0,22,22,5450
107940,18.0,27,27,15715
113495,13.0,20,27,5263
120217,10.0,27,27,3423
109397,12.0,26,26,9418
119168,14.0,25,30,17489
105800,6.0,11,26,6503
110129,19.0,19,19,7561
101040,3.0,15,25,7036
116203,4.0,11,25,11593
111935,4.0,28,28,6506
113727,6.0,27,30,7073
106910,0.0,29,33,8093
116249,2.0,15,15,12497
116477,1.0,11,37,19323
111621,2.0,22,30,1431
101385,19.0,19,36,9699
108149,17.0,26,34,4622
100751,3.0,14,35,7010
117849,15.0,15,21,14815
112105,0.0,26,26,7210
118708,18.0,27,27,11564
120194,3.0,24,24,13306
123581,10.0,11,11,12483
105026,10.0,10,27,3518
105424,0.0,11,37,13315
120673,15.0,15,39,7571
123876,8.0,20,23,2282
102876,13.0,13,13,16148
124350,5.0,23,28,18527
110520,6.0,24,24,4641
100714,12.0,23,29,17029
115133,8.0,8,28,11579
124355,19.0,19,36,17423
124381,18.0,18,18,17273
111981,13.0,22,22,17616
123855,9.0,11,32,15244
122847,6.0,12,12,7924
111094,6.0,12,19,7641
110369,18.0,18,34,2793
113960,3.0,10,36,17652
104162,5.0,20,29,8384
105868,9.0,28,29,11970
107106,3.0,18,23,2081
101805,15.0,19,22,16990
115604,17.0,17,29,18466
101533,6.0,22,22,3047
115506,14.0,16,16,10576
114945,18.0,18,23,2956
109384,10.0,15,32,12901
121199,18.0,18,29,14406
121086,2.0,8,13,5462
118127,4.0,7,31,5028
114156,9.0,21,21,18421
102956,15.0,18,19,4610
105017,5.0,10,16,17458
100456,16.0,16,30,12754
110350,1.0,10,27,13624
109074,4.0,13,18,16553
112460,2.0,29,35,11571
111571,15.0,15,20,3204
107378,11.0,15,15,1934
114031,19.0,25,25,1589
114858,4.0,26,34,11621
111640,2.0,9,15,5100
100614,11.0,11,39,13219
115508,18.0,22,22,3088
121076,1.0,5,22,11802
114461,6.0,7,29,11198
117297,16.0,21,21,1370
115569,19.0,19,32,14604
111413,7.0,12,37,4318
114531,7.0,12,25,7397
122723,5.0,5,10,12595
115948,17.0,21,35,17795
102918,3.0,25,33,17049
104565,5.0,15,15,8692
117288,2.0,22,37,13007
111174,15.0,22,30,1316
115177,10.0,29,39,10268
121777,12.0,20,20,17842
123406,0.0,21,37,10923
109898,14.0,14,27,10115
120600,3.0,9,16,3614
106517,12.0,12,15,5136
123405,19.0,22,22,8524
118585,15.0,24,30,8771
107499,8.0,25,33,13586
117216,18.0,22,22,15311
114330,14.0,28,28,12693
121363,2.0,15,39,16247
124239,3.0,21,21,10460
121988,9.0,14,17,2816
116346,8.0,8,27,3291
116876,13.0,15,36,15680
105438,3.0,22,27,18516
124538,10.0,10,29,6245
122484,15.0,28,33,19950
116512,19.0,19,26,19457
122345,16.0,16,21,4225
113940,11.0,11,24,7564
117650,,24,33,14487
113866,0.0,7,26,12164
118165,5.0,21,37,12833
102496,12.0,23,29,8631
110083,14.0,14,19,16615
116412,6.0,16,22,9074
118478,19.0,19,38,9966
119723,8.0,18,18,9000
123099,13.0,13,19,16094
113996,11.0,11,28,19653
120237,8.0,21,21,3789
104931,8.0,19,19,12526
118275,15.0,20,25,19779
119890,12.0,12,13,13363
108542,18.0,18,18,9191
111612,16.0,25,37,3176
111311,8.0,17,21,18582
120174,10.0,15,16,12673
106666,5.0,26,26,15391
107121,12.0,20,21,13278
110908,2.0,16,23,6852
121648,9.0,25,25,18692
119512,12.0,14,36,18399
103424,2.0,14,20,6460
101678,10.0,28,38,1866
119051,9.0,17,39,15144
111455,2.0,12,12,17203
103765,14.0,24,24,1620
110571,13.0,25,25,9461
101924,19.0,19,26,10629
101866,9.0,9,31,8495
115971,0.0,6,11,18094
102619,0.0,11,11,12179
119629,18.0,23,23,17546
121884,1.0,18,38,7127
123108,11.0,25,25,3530
122649,0.0,6,35,16331
100528,7.0,26,26,16069
113016,12.0,12,24,10464
113219,10.0,15,27,7147
103286,19.0,28,36,14244
118347,1.0,23,23,16143
118527,19.0,22,38,1101
119528,17.0,27,27,13296
124142,15.0,15,16,15547
123847,9.0,25,32,5067
112539,8.0,27,29,4883
110018,13.0,13,27,14781
117346,9.0,9,29,16718
124234,12.0,12,22,2071
121919,7.0,19,25,18828
124872,14.0,23,23,14095
102732,16.0,28,28,17889
123622,15.0,27,30,13899
121530,2.0,24,24,7132
123492,0.0,18,23,8645
107756,14.0,24,24,6583
116577,14.0,26,26,3835
121710,18.0,18,18,6125
112339,12.0,21,21,2264
115875,6.0,26,26,4337
124472,12.0,19,38,18432
101500,14.0,15,38,15066
113927,7.0,10,24,19507
103871,8.0,15,29,17654
109978,1.0,20,20,5933
109104,13.0,24,24,16644
119508,15.0,18,29,2951
124199,16.0,16,22,5493
110190,6.0,26,26,9460
103545,7.0,21,34,11308
124934,1.0,25,25,18978
110878,11.0,18,18,17714
110719,14.0,15,36,3128
122004,0.0,12,33,10633
104590,18.0,18,18,6057
101240,11.0,29,35,12633
116823,9.0,9,37,12179
107689,7.0,11,30,18522
124313,11.0,27,27,9523
121472,3.0,24,27,10760
123171,7.0,18,22,1523
109888,15.0,28,28,11683
122558,3.0,25,34,12545
109147,6.0,26,26,12929
123089,11.0,11,22,9619
117510,6.0,14,31,4667
115729,10.0,22,38,8709
114416,10.0,10,19,13005
119450,6.0,13,23,6239
114127,15.0,15,16,9060
101690,14.0,19,21,1376
107560,3.0,26,26,10632
103806,10.0,25,25,3701
108211,2.0,20,20,11006
124063,12.0,22,33,12169
106411,4.0,29,29,6989
106059,8.0,8,23,18317
103826,15.0,18,27,3598
116556,2.0,28,28,19367
122953,11.0,11,33,5670
112452,1.0,29,29,15140
109430,2.0,6,33,9717
110107,6.0,15,19,15519
122822,11.0,28,28,3376
112772,4.0,6,11,10164
101469,17.0,17,26,7298
124158,2.0,5,10,12449
106663,6.0,15,16,17390
109156,4.0,26,37,3354
103304,8.0,8,25,13678
100913,7.0,15,18,11956
111606,9.0,26,26,9997
117521,8.0,11,13,5882
123539,2.0,15,28,13651
115379,2.0,11,26,4452
120418,8.0,21,33,4352
102043,2.0,23,23,5790
122519,11.0,27,27,5970
103196,12.0,29,29,15155
102280,8.0,8,27,12023
123753,19.0,19,27,13401
106436,17.0,17,33,10364
112157,17.0,23,25,17292
115272,11.0,11,12,19278
122732,16.0,16,19,12940
104761,13.0,13,18,7705
124292,14.0,24,24,12707
105444,14.0,19,29,15031
107100,15.0,28,36,3534
109127,17.0,27,39,16579
122187,1.0,10,33,3140
115081,15.0,26,26,5175
108376,17.0,19,19,18619
109705,15.0,15,26,12400
100605,4.0,16,33,18361
122156,0.0,5,12,8660
114822,2.0,20,25,10556
105876,5.0,21,29,5881
114125,7.0,9,21,18009
102623,7.0,24,24,9198
117438,10.0,22,37,14513
117913,7.0,21,34,14843
102964,9.0,21,21,10851
100755,4.0,26,26,17299
109482,6.0,16,20,1757
122068,17.0,17,29,15297
123880,8.0,26,26,9911
117132,6.0,20,23,7440
101643,,17,17,15947
105697,19.0,19,22,6062
118003,19.0,28,29,15536
118759,0.0,18,32,3219
117625,12.0,12,29,3874
116141,7.0,14,39,3303
107152,9.0,9,33,9364
103028,3.0,17,36,15129
118396,11.0,25,26,6536
101290,14.0,21,33,12725
103935,16.0,16,16,18198
118251,4.0,11,25,16984
108246,19.0,20,37,2913
110591,3.0,10,27,3409
120056,,18,18,16382
106676,11.0,29,29,12705
111459,12.0,21,33,8793
106764,19.0,29,29,18002
112123,11.0,25,25,7873
122238,12.0,29,35,15241
106783,12.0,12,26,8364
105154,11.0,27,27,9744
106562,13.0,27,38,4869
118156,11.0,11,33,6815
124547,8.0,26,26,18783
118737,4.0,5,25,4256
123773,12.0,12,23,19434
121729,,25,25,16919
121646,4.0,14,26,15021
103355,18.0,18,31,12941
113922,16.0,16,30,10985
110119,15.0,15,31,3985
106636,17.0,17,30,9334
124167,1.0,23,29,1862
101557,19.0,28,28,17824
114523,8.0,29,37,6851
115155,4.0,16,16,3328
118829,16.0,16,17,2253
121122,18.0,18,25,13988
101168,7.0,7,32,7481
107150,16.0,20,20,9442
114552,19.0,19,27,7677
100947,19.0,19,19,1140
102533,13.0,14,30,1320
121223,3.0,27,27,11199
115731,3.0,8,35,12264
115311,5.0,15,25,11191
106047,9.0,23,35,3252
105233,11.0,11,24,9974
109676,17.0,17,31,16171
102106,14.0,25,25,6148
109767,7.0,17,31,7202
116719,12.0,12,17,13700
114542,7.0,8,37,3712
107630,18.0,18,18,7828
108462,7.0,13,30,1590
100948,12.0,29,38,18150
113816,8.0,17,29,15449
112383,3.0,15,15,4564
103655,1.0,22,22,8088
122622,12.0,22,23,8907
116609,2.0,8,16,12686
122267,13.0,16,17,8428
119250,10.0,14,23,15612
102457,1.0,6,22,8671
121670,6.0,18,39,17596
122713,19.0,24,30,17230
114789,12.0,13,27,6730
114287,5.0,8,24,19244
106983,0.0,15,22,13860
116675,14.0,29,33,4829
109189,11.0,16,35,10430
121017,19.0,25,36,11186
106536,16.0,26,30,4978
123168,8.0,10,28,17361
119228,18.0,18,31,18961
124307,15.0,22,26,1067
109539,12.0,12,38,14200
115015,18.0,18,18,9494
105594,5.0,13,35,15945
111881,19.0,29,29,16024
115598,9.0,9,19,4557
109439,12.0,21,25,17501
111866,14.0,14,21,17175
116810,7.0,13,13,14958
103946,17.0,19,19,17972
109609,19.0,24,28,15626
115376,6.0,13,20,7553
102479,11.0,11,20,7101
123656,6.0,17,17,13090
113961,12.0,16,37,16343
117598,18.0,18,32,13864
115670,7.0,7,14,4332
106580,10.0,29,32,11183
101846,5.0,11,39,11152
120739,19.0,19,29,12256
107138,3.0,24,29,13080
120265,5.0,7,18,3174
123986,15.0,26,26,16447
105954,18.0,18,37,2552
104016,3.0,12,27,4112
122199,8.0,20,20,6737
113362,11.0,26,28,18485
103648,12.0,12,39,14951
123279,17.0,26,26,17768
116736,9.0,26,39,10171
114313,4.0,14,26,19342
113664,14.0,22,34,16022
100792,6.0,21,21,7974
110729,5.0,23,23,6418
114011,1.0,12,12,13467
118948,13.0,13,19,8797
102557,16.0,16,29,3878
105032,,11,11,4872
106997,8.0,27,33,3773
116193,7.0,15,15,6222
110113,6.0,24,25,9544
119787,11.0,23,34,4635
106321,7.0,12,22,4661
110859,13.0,24,31,14276
124675,16.0,16,30,11535
106776,6.0,7,32,1209
103628,12.0,21,29,18976
115414,13.0,27,27,13675
107751,0.0,14,24,1353
120532,1.0,15,17,9775
117703,7.0,16,17,15336
105611,10.0,21,25,15144
116889,3.0,29,36,8084
103819,15.0,28,37,6950
112087,4.0,17,32,4002
111968,18.0,26,37,11461
107379,1.0,24,38,13758
118105,17.0,17,33,14028
112993,9.0,16,36,1570
112885,0.0,28,33,15766
104155,3.0,18,18,4767
107748,5.0,5,33,6215
118216,7.0,12,14,6439
113894,2.0,27,27,8280
103213,15.0,15,24,4363
124682,15.0,15,20,3557
104222,6.0,18,18,9818
111133,19.0,26,33,3382
102232,1.0,29,39,16149
124767,5.0,18,39,5982
113671,10.0,18,18,9838
120584,5.0,14,38,7322
103317,5.0,17,17,12518
100388,1.0,25,25,3265
102064,15.0,26,26,6642
105029,17.0,17,27,12764
119541,5.0,25,25,10689
107544,10.0,24,28,19303
118950,12.0,12,12,19267
114796,4.0,6,19,18316
107759,1.0,9,18,5965
114665,8.0,18,27,9333
101998,6.0,24,24,11738
106659,2.0,26,26,2760
111145,7.0,18,30,6534
108637,0.0,14,31,18711
103169,5.0,28,28,10751
102386,8.0,19,19,11592
109137,19.0,27,27,16185
106413,0.0,5,18,13979
109603,15.0,15,32,16474
108155,,14,14,18445
109789,13.0,29,29,4579
103315,0.0,14,36,15453
101515,8.0,20,31,5814
118602,5.0,10,16,6414
105321,4.0,16,16,6692
120251,8.0,8,23,1218
107635,16.0,18,18,19292
112661,12.0,16,39,4764
113406,3.0,22,22,19288
118958,10.0,19,39,9474
113897,3.0,29,36,10779
121857,2.0,7,20,4389
118711,3.0,28,28,12162
106581,14.0,28,34,12906
116622,17.0,17,32,11580
107609,8.0,14,25,1223
117734,13.0,24,24,8513
118376,16.0,16,16,14370
122919,1.0,21,27,17195
114410,0.0,19,28,11336
112538,13.0,27,27,15601
108548,3.0,25,30,11170
113573,5.0,6,10,19274
102925,14.0,19,25,7773
111381,17.0,26,26,9844
113898,12.0,15,15,18216
115652,4.0,20,29,14443
107969,7.0,19,19,7409
108987,15.0,20,21,13245
118322,5.0,14,27,7855
121894,0.0,22,25,5580
102989,1.0,12,28,5793
120001,8.0,17,35,8894
103560,13.0,20,20,8552
119285,14.0,14,17,5968
105911,11.0,18,31,10353
118341,15.0,21,26,14104
112394,2.0,19,19,9365
110045,11.0,26,28,13825
117579,8.0,26,26,1670
105718,12.0,12,33,5645
108922,8.0,12,19,16966
104655,4.0,24,24,17374
122968,4.0,14,29,11827
103382,8.0,14,22,8790
124829,13.0,19,23,5046
103137,5.0,15,17,14861
123658,0.0,15,33,15125
114496,9.0,14,16,6384
108075,14.0,24,24,14389
106968,8.0,12,13,5830
118543,17.0,17,20,18100
101387,8.0,26,33,6891
105657,8.0,13,19,7872
118993,6.0,19,19,8065
108845,18.0,27,27,13367
111308,13.0,28,32,16609
108023,8.0,22,30,12185
111852,17.0,17,34,10814
122920,14.0,14,18,10577
118315,5.0,23,26,19509
109726,3.0,12,15,17826
102560,14.0,22,22,8610
110560,11.0,11,23,6555
112496,0.0,6,34,14633
104800,10.0,24,24,8636
121531,18.0,18,27,19951
113765,9.0,12,33,15350
115210,12.0,15,38,18293
124784,4.0,5,32,16814
102392,11.0,12,14,17727
113962,12.0,12,16,3193
123034,17.0,17,28,19776
121680,5.0,14,17,10289
121127,2.0,18,18,19835
117325,8.0,12,33,6754
123515,16.0,29,32,16952
109437,4.0,24,24,17154
102705,0.0,24,37,16387
106461,12.0,12,27,1019
109089,5.0,27,27,4378
122153,15.0,15,29,4127
104364,19.0,26,26,14840
100203,18.0,25,25,7842
123281,4.0,15,30,9645
106988,15.0,25,25,17976
115267,15.0,15,27,7766
102181,2.0,28,28,8853
110466,15.0,26,26,10176
124382,0.0,29,38,18093
109552,18.0,18,25,10166
100784,7.0,24,31,2288
109876,2.0,28,28,4901
120819,7.0,7,24,16562
101070,4.0,10,34,13243
118916,3.0,23,23,2354
123822,14.0,14,39,15705
113063,0.0,15,34,2515
119960,0.0,25,25,16730
102887,3.0,28,28,13797
112115,8.0,23,37,7576
107704,7.0,7,27,15857
119253,8.0,9,27,17857
112641,9.0,13,23,9473
108776,13.0,25,25,7134
105070,14.0,14,33,9409
100004,11.0,18,29,15061
108724,12.0,22,37,13206
118979,12.0,12,36,15545
104130,0.0,7,27,5063
117130,13.0,13,13,9249
120754,15.0,16,36,7842
113150,13.0,13,23,12010
117230,3.0,18,27,19450
106508,17.0,17,27,2389
110225,13.0,18,18,11205
124649,12.0,19,30,8863
122416,2.0,20,20,15860
124327,7.0,28,28,12936
116056,4.0,29,29,4758
116645,1.0,11,33,10838
119511,8.0,8,21,16042
102565,3.0,14,39,17073
102336,17.0,21,21,4458
113294,10.0,15,15,5404
108335,3.0,25,25,14674
111124,5.0,14,14,14779
121110,11.0,21,21,10309
121651,11.0,25,32,9134
103414,0.0,17,23,15450
115310,0.0,11,17,18097
105140,13.0,26,26,5850
117737,5.0,10,36,5501
102453,14.0,16,28,15388
104739,12.0,17,26,12386
113024,4.0,6,16,4786
117099,10.0,10,28,7072
115685,15.0,15,34,4981
124396,5.0,14,25,7773
105974,11.0,19,32,19705
116022,12.0,21,21,14860
116178,9.0,29,38,6902
100863,4.0,25,25,12399
109864,12.0,13,25,4701
104039,7.0,9,26,11468
113975,17.0,17,28,6018
103173,14.0,22,32,19014
108114,12.0,14,35,15506
120725,18.0,19,25,4226
114604,16.0,16,36,18837
109784,13.0,13,13,16641
120865,10.0,26,36,7029
100350,1.0,12,33,7822
118054,7.0,7,24,4171
114609,8.0,13,29,18872
113347,4.0,12,12,15005
113506,4.0,24,31,17325
118361,3.0,5,37,2141
119555,8.0,29,29,5036
119134,10.0,29,29,8318
111729,11.0,11,32,4305
118909,1.0,22,28,5549
116392,0.0,8,20,2774
105190,7.0,29,29,8185
106093,12.0,12,35,14011
104489,13.0,16,37,8486
111530,16.0,16,30,7267
101741,3.0,22,36,8714
110903,0.0,25,25,12940
100498,11.0,11,18,9660
100537,0.0,13,16,11942
108177,19.0,27,27,7899
102617,12.0,12,12,13563
112384,1.0,29,29,3563
106033,11.0,15,26,7424
120202,0.0,26,35,1964
100438,17.0,17,17,6916
121295,2.0,16,16,16371
112201,12.0,28,30,19133
105370,7.0,9,29,9695
119606,10.0,11,35,12121
100338,9.0,18,18,19643
108361,9.0,16,16,17675
102093,,26,26,7247
105077,4.0,29,37,5721
104065,8.0,10,26,19179
123234,2.0,11,20,7038
120880,10.0,22,32,16123
101181,10.0,15,33,18062
124597,10.0,14,32,9285
107120,13.0,16,28,8472
113912,10.0,12,12,8494
120871,1.0,9,25,1339
107350,11.0,23,23,9938
107891,1.0,25,25,19185
105010,10.0,11,17,1759
104225,13.0,27,27,7417
120939,9.0,9,27,3988
120421,15.0,25,25,13439
104530,7.0,14,14,3901
112667,0.0,14,16,12336
118082,17.0,25,25,4131
111264,7.0,18,18,10218
122520,16.0,16,16,2316
112504,4.0,7,39,3470
120588,17.0,22,22,7169
105109,7.0,21,25,7439
107789,19.0,19,19,9255
103915,4.0,28,28,1440
101792,0.0,15,20,10758
105963,9.0,9,23,17706
120897,1.0,18,18,3407
113817,16.0,27,39,14495
101757,17.0,17,25,3252
105229,7.0,14,34,4679
124520,10.0,11,32,12619
113415,5.0,29,29,2640
100821,19.0,19,31,17665
100169,16.0,16,33,11524
104660,19.0,19,23,8792
119813,13.0,16,18,12836
104736,14.0,21,21,3354
100926,1.0,13,23,14789
101870,19.0,19,34,19017
111646,9.0,17,30,5086
110573,15.0,16,25,18748
120240,8.0,15,20,3322
106487,4.0,5,33,8342
123854,2.0,29,32,9326
117425,11.0,14,38,3410
111753,2.0,11,13,17776
103690,16.0,21,39,9362
118191,5.0,17,25,3604
113850,12.0,14,20,4919
120179,12.0,27,27,8885
112887,0.0,20,35,16517
111248,0.0,19,35,5275
101019,12.0,16,19,1742
117715,17.0,25,25,1810
105906,1.0,19,35,18184
118258,14.0,14,26,18037
102808,6.0,9,32,4090
122021,18.0,18,18,10273
120226,15.0,23,36,2094
102250,7.0,25,33,5910
122730,10.0,24,37,1573
120248,17.0,21,24,10330
108769,0.0,5,12,11995
116096,4.0,22,25,18631
100532,3.0,17,17,9880
115443,12.0,21,21,11339
104037,14.0,14,25,5057
112871,6.0,29,30,8559
101766,0.0,7,23,8118
116081,12.0,13,13,12495
116455,4.0,22,28,18556
117418,10.0,16,31,15716
100773,15.0,23,23,6165
111949,1.0,24,35,18261
112769,10.0,21,34,19876
113199,13.0,16,16,4227
100731,19.0,19,36,6565
118100,14.0,14,14,4245
117841,4.0,14,27,6899
122080,0.0,21,37,7924
123988,13.0,13,28,5766
121589,7.0,15,17,1265
122494,17.0,21,23,11946
117043,19.0,19,19,2002
108730,18.0,29,30,8741
108028,2.0,6,15,13363
100794,12.0,23,25,11390
105420,17.0,17,17,6917
117823,5.0,14,14,6573
111340,5.0,7,27,7622
120119,9.0,9,27,16811
104274,0.0,19,34,11903
111748,4.0,22,36,18645
100113,4.0,29,29,13258
120388,12.0,13,36,5039
112395,3.0,25,25,11432
122412,12.0,12,21,11338
111191,14.0,15,18,4560
110432,19.0,26,39,9506
109353,14.0,14,14,19068
122242,2.0,24,24,16940
124172,15.0,22,32,3632
118476,13.0,29,39,16554
117736,12.0,14,32,18563
113352,17.0,17,34,2399
124135,16.0,23,23,14183
124885,14.0,25,26,17292
101764,18.0,28,28,18660
108443,13.0,20,20,17153
124344,6.0,25,25,11546
103341,11.0,29,39,11030
116634,13.0,13,31,13307
105237,10.0,18,23,12339
121727,14.0,24,35,11774
107750,14.0,14,24,2789
114053,1.0,6,25,15747
112815,0.0,5,14,3313
103789,8.0,10,34,6066
120737,12.0,25,25,5963
110851,8.0,8,31,8777
120246,3.0,9,27,12604
124384,19.0,23,30,2000
112998,4.0,25,25,18667
103005,12.0,27,27,16787
108728,16.0,16,36,6751
118856,17.0,22,22,14370
115278,14.0,27,27,1665
124530,0.0,26,26,16862
123235,13.0,18,29,2535
123485,0.0,11,20,14374
119809,8.0,22,35,15232
104408,1.0,8,35,10922
100267,2.0,16,21,5537
102792,16.0,24,33,8775
121934,10.0,19,35,13827
100974,11.0,11,14,10110
114741,12.0,25,28,16640
104243,7.0,23,35,9355
108198,3.0,19,22,1818
119989,11.0,28,28,5918
105426,0.0,25,25,6719
100761,15.0,24,33,19231
111946,11.0,28,28,17194
111427,4.0,9,18,5544
106255,18.0,28,28,18508
120438,3.0,21,28,16575
100318,5.0,20,20,2731
117930,14.0,14,29,8734
101038,6.0,24,24,3960
114087,11.0,26,26,17515
104058,15.0,26,26,17145
108997,4.0,11,12,12947
117747,9.0,10,25,15477
124654,11.0,15,38,7028
105113,11.0,22,35,1048
108527,19.0,21,27,17434
102656,1.0,9,26,16101
112613,10.0,18,27,12986
107256,9.0,12,35,7637
101776,8.0,23,26,15103
117244,5.0,22,22,9271
123731,19.0,19,20,2753
109698,6.0,8,12,11073
