Client_ID,Total_Enquiry_6m_In,Total_Enquiry_1y_In,Total_Enquiry_2y_In
113957,5.0,11,34
109210,,9,17
115706,10.0,22,27
111416,3.0,6,9
119001,7.0,17,31
100437,6.0,21,28
120963,4.0,18,18
100050,10.0,22,22
103098,10.0,10,28
113389,6.0,21,22
107977,5.0,12,21
122558,1.0,4,16
107809,12.0,16,21
119734,12.0,18,33
105773,11.0,11,31
107714,2.0,13,33
104821,4.0,20,23
110425,5.0,17,17
123220,12.0,24,32
109375,0.0,15,15
100087,5.0,21,25
102765,6.0,22,22
113612,8.0,8,28
107057,12.0,18,25
115416,4.0,22,32
110996,8.0,8,14
111483,1.0,11,11
104517,4.0,15,16
104177,0.0,5,10
123923,11.0,11,12
117854,4.0,24,24
108099,3.0,9,9
105649,12.0,14,34
111834,1.0,22,29
112435,14.0,24,25
107935,3.0,15,34
110424,9.0,9,22
101276,11.0,11,15
102983,10.0,21,21
105329,4.0,4,24
116224,11.0,20,27
105364,2.0,24,24
106915,14.0,14,20
123874,11.0,16,28
119568,12.0,12,28
118504,10.0,13,15
116055,0.0,9,10
109089,5.0,8,22
110062,12.0,12,12
117207,7.0,7,11
102365,2.0,15,32
114471,5.0,20,32
110988,13.0,23,27
115660,,11,23
124860,10.0,24,24
117682,11.0,21,21
110840,12.0,12,22
112059,6.0,20,33
112718,0.0,12,19
102311,14.0,15,25
116395,3.0,15,15
113851,8.0,8,28
117833,13.0,19,19
109357,9.0,9,16
101206,0.0,22,33
100804,6.0,22,31
113783,9.0,9,13
116073,14.0,14,30
100968,3.0,14,15
102251,11.0,13,19
109789,8.0,14,29
100524,8.0,16,28
115578,4.0,14,28
112826,6.0,17,32
102313,1.0,12,15
102349,11.0,14,14
117784,14.0,14,29
124124,6.0,12,24
104012,5.0,17,17
112185,1.0,18,24
105254,7.0,10,21
106704,12.0,16,19
120742,6.0,19,19
107495,9.0,13,33
108646,13.0,17,24
110609,9.0,9,9
114459,12.0,12,19
114095,14.0,14,14
100757,8.0,8,28
102835,0.0,22,31
101283,5.0,24,24
121691,3.0,11,11
123166,9.0,9,20
109235,3.0,24,30
111983,13.0,17,17
114598,0.0,10,24
101777,3.0,12,31
117208,10.0,10,31
110753,9.0,10,31
102245,0.0,3,28
120562,3.0,3,6
107647,11.0,16,16
105426,9.0,11,11
119298,9.0,13,13
109792,13.0,13,13
123535,8.0,14,33
102647,10.0,14,14
115306,4.0,12,12
110724,9.0,19,19
123440,0.0,11,25
102985,14.0,23,23
116005,0.0,3,20
120800,7.0,16,20
107257,13.0,22,31
123536,8.0,18,27
100525,10.0,19,22
103995,9.0,20,23
123945,14.0,21,23
117687,0.0,13,13
116976,4.0,14,24
112521,13.0,13,22
113542,1.0,23,23
106517,2.0,14,14
117467,5.0,16,26
104407,6.0,16,34
114928,14.0,14,14
122607,6.0,21,21
117261,3.0,13,13
119890,9.0,11,23
108015,2.0,5,27
100261,9.0,9,13
110777,8.0,15,17
112153,9.0,9,25
101481,14.0,14,28
116677,0.0,20,32
111705,10.0,10,10
110274,0.0,7,7
111323,8.0,8,14
105562,12.0,12,12
108714,3.0,10,34
124144,6.0,9,14
104699,0.0,9,9
100775,7.0,9,12
119796,14.0,20,20
110596,2.0,13,23
123701,6.0,22,30
114078,4.0,17,26
100235,0.0,14,14
107963,3.0,9,31
108103,3.0,22,31
108206,2.0,17,34
109892,2.0,11,14
112854,13.0,13,13
120190,9.0,22,22
115732,10.0,10,14
118388,5.0,20,25
113274,0.0,7,7
100388,3.0,8,18
117410,14.0,16,21
102027,7.0,9,34
123398,2.0,21,21
121524,0.0,21,21
100222,1.0,13,29
105911,1.0,8,16
103492,4.0,6,13
116374,3.0,3,9
124360,4.0,14,23
100721,5.0,21,34
116012,8.0,17,17
113857,6.0,10,31
105369,8.0,19,26
104411,1.0,5,33
119191,12.0,13,13
111255,4.0,4,21
107672,3.0,22,22
109772,9.0,11,11
104278,0.0,13,15
111089,5.0,8,34
121640,4.0,8,26
120247,14.0,18,27
120286,11.0,11,25
121182,2.0,15,31
117458,8.0,14,15
104191,13.0,13,18
121726,,7,8
106235,2.0,16,16
106834,8.0,8,12
105967,3.0,5,6
109868,6.0,10,16
113413,0.0,3,32
111840,11.0,11,11
107762,3.0,3,22
111716,3.0,5,19
108352,12.0,12,24
113784,8.0,12,23
105570,0.0,6,9
116408,6.0,9,26
102497,12.0,19,29
122528,7.0,7,27
112213,0.0,23,23
119931,11.0,19,19
114828,0.0,3,26
120921,7.0,18,18
100812,12.0,20,20
102935,6.0,6,15
102716,0.0,18,18
106043,6.0,6,25
101004,3.0,15,30
117591,11.0,11,11
100331,6.0,24,27
124960,4.0,7,34
118041,3.0,4,25
113472,11.0,11,16
104894,,22,22
117469,10.0,16,19
120526,13.0,14,21
102785,1.0,24,24
112863,11.0,11,31
120817,11.0,16,17
113998,3.0,21,34
114274,2.0,13,13
114959,4.0,23,23
118467,4.0,9,9
105968,0.0,20,29
114220,3.0,14,31
115850,12.0,12,31
106469,12.0,15,15
108991,14.0,14,22
108362,3.0,17,33
116548,14.0,14,14
103268,6.0,17,17
104215,7.0,7,23
120894,14.0,22,22
123760,11.0,12,26
123060,8.0,8,21
102791,1.0,20,31
107931,11.0,11,26
118120,4.0,10,22
120801,13.0,13,13
108008,12.0,12,18
119533,9.0,15,28
103684,9.0,12,16
124055,7.0,18,30
119341,7.0,9,17
108514,11.0,23,28
111109,8.0,23,25
118552,2.0,11,22
107291,8.0,9,20
116041,11.0,11,27
122771,7.0,9,30
105714,5.0,5,32
102157,1.0,10,21
109690,9.0,9,32
109322,8.0,15,15
107499,1.0,4,12
115204,8.0,12,25
113618,0.0,7,12
101656,9.0,18,18
104650,3.0,14,25
115011,6.0,9,14
108203,14.0,14,14
124635,11.0,15,31
115751,6.0,17,30
102398,5.0,20,33
108966,,8,11
101052,11.0,14,17
121225,,22,30
107444,7.0,18,29
101181,0.0,23,23
120500,6.0,6,12
122942,2.0,5,30
105895,0.0,15,15
107062,13.0,23,23
113923,10.0,10,14
118329,12.0,16,16
104600,9.0,16,21
117300,5.0,5,15
116951,4.0,6,9
116344,0.0,21,21
103894,3.0,22,33
121859,5.0,19,19
103727,9.0,19,24
116794,2.0,20,22
100403,12.0,13,13
106679,1.0,18,22
100059,6.0,18,28
113697,9.0,11,11
101374,14.0,19,26
117853,0.0,10,18
101694,14.0,23,23
108195,4.0,10,32
104638,8.0,23,29
104475,12.0,12,12
111580,8.0,22,28
109146,13.0,13,16
109181,13.0,13,25
123234,6.0,22,26
113625,8.0,19,22
103644,11.0,11,20
106018,7.0,20,20
111245,3.0,8,8
107145,1.0,18,24
102978,2.0,18,24
107547,12.0,12,12
120395,1.0,20,20
118565,14.0,14,16
106187,2.0,12,28
123780,4.0,13,27
119472,1.0,15,26
105093,6.0,15,17
107340,13.0,17,18
121483,10.0,10,21
118074,11.0,13,16
103217,2.0,21,21
107552,5.0,14,32
123890,0.0,15,24
107653,2.0,17,34
122778,8.0,17,24
100004,14.0,14,14
104442,14.0,14,30
121740,7.0,23,23
106583,9.0,19,22
106859,8.0,8,14
101218,1.0,12,12
120143,10.0,11,11
111777,0.0,22,22
107513,2.0,18,23
118720,8.0,10,24
110432,4.0,24,34
110501,8.0,11,20
106133,0.0,21,27
115945,11.0,14,16
124734,2.0,24,25
101541,2.0,3,29
100555,2.0,7,8
119732,2.0,22,22
110370,5.0,5,21
115023,11.0,11,14
100664,14.0,14,30
118369,2.0,18,18
100523,7.0,7,12
120895,6.0,6,13
120625,1.0,23,29
122935,2.0,16,22
102836,10.0,10,18
119173,1.0,7,8
119253,13.0,22,22
111208,10.0,24,24
102780,,20,20
124389,1.0,16,22
101452,7.0,12,12
115045,3.0,8,8
117496,0.0,4,10
117698,8.0,19,28
118853,6.0,21,29
114336,11.0,11,16
112502,11.0,14,29
114248,5.0,6,26
115665,0.0,14,23
107512,0.0,17,17
104556,6.0,21,25
116626,11.0,11,27
121482,4.0,10,26
122866,6.0,22,32
118206,9.0,10,17
106071,4.0,13,14
100139,3.0,22,30
118274,1.0,7,25
122850,2.0,7,15
104984,4.0,23,23
119707,10.0,16,22
105230,5.0,24,24
122669,13.0,13,33
102989,6.0,17,27
121735,8.0,19,30
106791,5.0,7,17
118808,9.0,18,18
112792,9.0,19,20
120950,4.0,4,31
123322,4.0,6,7
101605,10.0,10,29
118534,5.0,21,21
121428,10.0,10,31
121431,11.0,16,24
104776,8.0,18,33
118412,11.0,23,27
121797,7.0,21,21
101698,13.0,21,23
119028,8.0,23,23
102508,,8,15
117947,13.0,14,34
114872,11.0,11,19
102260,10.0,10,26
109368,13.0,13,13
118430,7.0,20,20
114386,7.0,17,31
112291,8.0,8,9
112255,0.0,9,34
111554,,14,30
103886,10.0,23,23
113153,13.0,23,23
100287,6.0,18,32
102261,4.0,6,15
113387,11.0,20,20
101448,13.0,13,20
122920,13.0,13,21
102808,13.0,24,24
107141,3.0,10,13
121078,9.0,9,9
120103,7.0,21,21
107307,9.0,21,30
123044,10.0,22,22
104749,8.0,18,18
121157,3.0,3,32
116534,10.0,16,16
124613,7.0,18,18
115281,0.0,22,27
113774,1.0,6,25
110663,10.0,17,31
121168,4.0,7,32
123507,8.0,24,30
107824,5.0,7,7
110665,5.0,21,21
110736,10.0,20,20
110384,1.0,10,30
103303,4.0,10,24
114563,2.0,22,24
121353,11.0,11,17
120627,13.0,15,29
115851,9.0,23,26
121404,14.0,14,33
119247,10.0,20,20
108898,12.0,17,27
117632,13.0,24,24
120151,10.0,17,34
105812,13.0,17,19
114735,12.0,12,12
108937,9.0,9,10
104983,1.0,7,22
109917,8.0,17,19
105281,7.0,7,7
119038,5.0,18,23
110839,5.0,15,15
115339,,12,21
109321,7.0,7,24
113466,,10,10
108306,5.0,16,16
124107,11.0,11,24
104715,13.0,13,23
124164,7.0,7,14
117743,10.0,24,24
118382,7.0,8,33
114682,6.0,20,20
124522,13.0,13,29
114118,1.0,16,16
104387,5.0,21,26
107339,4.0,18,24
102888,5.0,14,22
102074,10.0,10,11
107898,3.0,20,22
116906,8.0,13,23
107927,14.0,17,17
118190,4.0,9,29
122837,1.0,15,32
104235,14.0,14,34
122169,10.0,18,18
112540,14.0,14,14
102762,7.0,7,30
108294,4.0,8,15
116157,13.0,21,24
123626,,14,14
110626,0.0,16,31
107084,12.0,12,29
112317,8.0,8,8
109924,3.0,16,21
105725,13.0,13,20
101049,12.0,12,20
120793,1.0,14,34
100816,2.0,15,15
118079,7.0,23,23
124902,0.0,21,21
117571,6.0,13,13
117595,0.0,19,27
112466,1.0,14,32
123207,7.0,11,11
101939,0.0,19,19
106644,0.0,23,32
118569,1.0,13,13
114404,5.0,24,24
122273,11.0,21,33
102568,2.0,5,5
104855,1.0,13,26
100535,10.0,10,10
122845,9.0,9,30
100506,5.0,9,26
103929,14.0,14,31
107807,13.0,13,13
121414,5.0,9,11
118764,11.0,24,24
114035,14.0,21,21
118548,4.0,18,18
103731,1.0,14,14
124262,2.0,9,30
102658,6.0,9,26
100938,14.0,21,21
108530,2.0,12,19
112022,13.0,13,24
121460,9.0,12,24
114287,5.0,16,25
111252,11.0,17,30
103748,12.0,13,32
104188,4.0,22,22
111449,12.0,19,28
123794,4.0,23,23
109259,4.0,7,7
103100,1.0,5,6
122728,2.0,6,14
117092,12.0,12,21
119145,6.0,14,24
109871,1.0,18,33
101343,4.0,4,5
119210,8.0,11,16
105933,0.0,22,22
113762,9.0,9,31
104831,7.0,7,19
106114,,21,33
109214,8.0,12,27
100844,9.0,9,9
122108,13.0,15,15
109466,6.0,12,29
122722,11.0,17,17
111459,12.0,12,12
118229,8.0,24,24
118397,8.0,21,21
123387,4.0,7,15
122795,4.0,10,24
118551,6.0,9,15
111875,6.0,24,24
109477,0.0,21,33
111892,12.0,12,16
103181,0.0,7,12
109944,2.0,13,27
108330,13.0,23,23
113933,13.0,13,26
120592,14.0,23,29
115671,10.0,10,32
117863,7.0,16,24
124120,9.0,9,21
120273,7.0,21,21
102257,14.0,20,29
108713,9.0,11,29
109339,1.0,12,34
102986,4.0,20,21
103128,6.0,20,31
102624,2.0,11,11
112741,2.0,11,30
104654,3.0,8,32
104271,6.0,17,28
116975,0.0,4,20
124280,11.0,11,12
104163,6.0,6,32
122862,13.0,18,18
112174,11.0,11,34
118835,7.0,21,21
113130,11.0,11,16
118858,7.0,16,16
102527,6.0,20,20
117928,9.0,20,20
111422,8.0,15,15
105311,4.0,11,17
118257,11.0,15,25
111123,4.0,7,34
115735,3.0,19,32
110786,12.0,12,12
106233,14.0,14,19
103271,4.0,9,19
102594,14.0,14,14
107415,9.0,19,22
112877,1.0,5,24
103078,0.0,9,32
103404,9.0,16,23
107231,2.0,12,33
120723,8.0,23,23
124654,12.0,18,30
102595,13.0,13,25
112745,1.0,17,34
107520,14.0,14,14
119003,5.0,17,17
116353,7.0,21,21
109333,0.0,7,19
116563,5.0,10,30
103555,7.0,13,28
104383,1.0,4,18
113282,7.0,19,19
123777,11.0,11,14
122140,11.0,17,22
104462,2.0,9,12
123519,4.0,16,31
109156,13.0,13,30
116515,6.0,6,20
112145,14.0,14,14
102244,8.0,8,34
102559,13.0,13,23
101123,7.0,7,7
110606,5.0,12,24
120804,6.0,11,11
107344,2.0,13,16
101314,2.0,7,21
106803,3.0,10,11
110556,13.0,23,23
119509,7.0,15,15
120439,12.0,12,21
123880,2.0,19,19
101170,2.0,17,24
111108,0.0,5,28
123233,13.0,13,15
114154,10.0,21,21
119615,9.0,9,9
109382,0.0,6,23
110925,12.0,15,15
120588,7.0,16,16
117487,11.0,15,15
108426,7.0,24,24
115309,11.0,17,34
121084,9.0,19,24
112366,4.0,17,17
108155,7.0,17,17
111225,13.0,13,21
101943,14.0,14,14
114527,10.0,21,32
105679,2.0,13,15
124228,7.0,7,13
118653,7.0,20,32
121592,6.0,7,21
111783,5.0,13,13
114594,7.0,13,13
118231,8.0,10,16
114516,10.0,13,26
113689,14.0,14,26
107663,4.0,4,32
101895,11.0,11,25
105603,5.0,16,16
109724,1.0,22,26
118061,7.0,23,23
123533,13.0,15,30
108349,3.0,23,28
108079,4.0,24,27
120913,3.0,13,23
100622,11.0,13,17
112638,2.0,15,19
107554,10.0,10,12
103782,9.0,9,20
122934,0.0,13,13
110279,8.0,11,17
102144,6.0,7,33
122207,12.0,12,30
123291,3.0,12,26
118672,10.0,18,23
103159,5.0,15,15
118919,4.0,14,14
101337,8.0,8,25
112583,9.0,10,14
117363,5.0,22,22
121064,1.0,23,23
102444,7.0,10,10
123516,8.0,20,20
105600,6.0,6,29
118070,8.0,10,15
113773,8.0,14,22
116100,7.0,17,20
116066,3.0,23,33
110643,7.0,12,12
106638,7.0,13,34
101120,11.0,15,27
119989,14.0,14,14
107831,3.0,13,17
100787,13.0,13,13
123033,4.0,5,25
120326,13.0,14,14
122166,8.0,16,16
120297,3.0,9,23
116817,12.0,12,28
108553,6.0,18,32
107465,9.0,9,32
115008,12.0,12,21
100143,7.0,7,7
102331,6.0,9,17
123109,11.0,11,18
104264,14.0,14,14
105521,11.0,11,19
123969,6.0,6,7
109697,5.0,13,23
112535,12.0,16,16
123052,8.0,23,23
117811,13.0,13,20
117421,3.0,10,33
102757,8.0,24,24
123538,14.0,19,19
112066,6.0,8,25
104322,12.0,12,26
114137,7.0,18,19
120484,9.0,21,21
109309,8.0,20,26
105697,5.0,8,25
122965,2.0,18,25
100487,11.0,11,33
113075,10.0,24,24
113786,9.0,15,33
117728,5.0,8,29
102920,14.0,14,19
115846,1.0,17,33
106715,5.0,10,10
123844,1.0,15,24
101353,9.0,9,27
117616,6.0,15,25
102039,5.0,12,16
106640,3.0,10,14
122875,0.0,14,28
113824,10.0,14,21
124386,12.0,16,28
114859,9.0,21,21
101731,11.0,17,17
106857,13.0,13,13
114983,5.0,21,33
121603,2.0,21,31
115176,9.0,9,13
122365,13.0,23,27
112800,1.0,8,33
111428,13.0,13,25
104262,2.0,3,20
107516,13.0,16,16
101449,13.0,17,26
107248,13.0,14,30
119456,9.0,15,34
104871,6.0,23,23
122428,11.0,11,33
106950,9.0,17,17
122586,11.0,22,22
104372,1.0,8,20
122334,5.0,5,16
124040,14.0,14,14
104055,4.0,22,22
116956,7.0,19,19
101297,0.0,5,19
118573,4.0,11,13
108936,6.0,13,13
100282,12.0,14,29
116692,8.0,24,32
107214,4.0,22,22
109064,1.0,22,22
115592,14.0,14,14
101606,14.0,21,21
101074,7.0,21,21
106506,10.0,22,22
112443,1.0,7,17
100071,8.0,19,19
101603,6.0,13,16
104069,2.0,22,32
109739,11.0,21,21
121601,11.0,14,25
107908,13.0,13,14
102732,3.0,14,30
113305,4.0,24,24
101084,1.0,21,21
120532,11.0,11,33
114436,11.0,19,22
123399,10.0,10,10
100318,12.0,12,26
113237,8.0,24,31
101879,14.0,22,25
121496,6.0,16,16
119318,,24,24
115888,4.0,14,21
100026,10.0,21,21
102883,7.0,20,20
118408,6.0,16,19
121189,11.0,23,31
116950,12.0,23,23
113503,0.0,22,29
115924,0.0,16,22
120958,12.0,23,23
121204,4.0,10,12
101995,13.0,20,20
113495,0.0,16,16
119097,12.0,12,34
113145,14.0,15,20
105437,7.0,7,21
115331,0.0,22,22
109788,8.0,8,27
121047,13.0,14,27
119245,13.0,24,24
102995,5.0,8,27
102893,1.0,20,20
119482,9.0,20,20
122755,3.0,9,14
102073,2.0,20,20
110876,3.0,11,11
115777,7.0,18,32
108533,6.0,19,23
118516,2.0,21,24
121143,6.0,12,12
120680,2.0,12,12
102391,13.0,24,28
122163,5.0,5,25
115127,2.0,21,21
102839,6.0,6,12
122550,2.0,10,29
121530,14.0,14,32
100407,13.0,13,13
121015,6.0,6,25
105238,10.0,23,23
113187,13.0,19,19
101201,9.0,9,29
116944,5.0,13,29
122350,2.0,17,28
122654,13.0,24,24
116622,14.0,14,14
122497,3.0,10,10
119335,11.0,11,11
104129,4.0,23,29
123415,11.0,20,31
119838,10.0,22,22
104778,14.0,19,27
117936,4.0,7,31
101038,13.0,23,31
102453,2.0,9,31
116718,7.0,17,21
121408,13.0,17,23
111959,5.0,23,33
115640,1.0,16,23
115839,8.0,16,23
117104,0.0,10,24
100414,13.0,13,13
110748,2.0,4,31
121547,7.0,18,28
107101,5.0,20,20
118144,9.0,18,34
104490,0.0,5,6
102063,8.0,11,11
102217,7.0,13,30
119317,5.0,21,21
100382,14.0,14,27
103359,5.0,5,14
123921,10.0,10,10
124383,3.0,8,11
112724,10.0,24,34
117227,13.0,13,19
113876,9.0,9,24
102185,8.0,13,33
105183,6.0,24,24
121822,14.0,14,32
120617,8.0,22,22
105537,2.0,13,33
106620,2.0,5,31
111344,11.0,11,32
123492,8.0,19,34
114177,11.0,16,16
121124,10.0,14,26
109004,7.0,24,31
111154,4.0,23,25
117820,6.0,11,29
101248,8.0,10,20
101019,5.0,10,29
106316,7.0,23,23
103473,14.0,14,25
122788,7.0,23,23
107369,3.0,17,23
112552,5.0,14,20
115458,9.0,18,20
110567,7.0,17,32
120653,13.0,13,32
109899,5.0,7,13
123996,3.0,3,16
109264,8.0,22,22
104527,7.0,8,26
108915,11.0,18,18
116346,1.0,3,15
117352,13.0,13,31
116702,3.0,5,30
109095,10.0,19,19
109479,2.0,9,9
102177,13.0,23,23
102725,12.0,12,25
124409,1.0,15,17
122610,1.0,6,9
117351,8.0,8,19
108812,0.0,15,23
121712,2.0,20,20
109006,11.0,11,33
116802,13.0,13,13
106285,4.0,12,34
117912,3.0,23,23
104091,4.0,22,26
117556,7.0,24,24
119927,0.0,16,16
104134,7.0,7,17
110309,8.0,15,25
123338,14.0,21,31
102301,1.0,18,18
107648,14.0,22,22
115953,7.0,23,31
108601,11.0,11,11
119466,5.0,16,16
114032,0.0,6,24
120048,12.0,12,16
118785,8.0,8,19
107438,12.0,12,33
112513,1.0,4,12
100173,11.0,11,11
101339,1.0,16,16
108049,1.0,4,6
120695,3.0,19,34
121960,14.0,16,16
122972,12.0,14,14
108470,7.0,13,13
118875,0.0,24,27
121330,10.0,24,24
123446,13.0,13,23
122297,13.0,16,16
116412,3.0,12,15
106310,14.0,20,31
110184,6.0,13,34
118890,8.0,17,31
124853,0.0,14,27
116627,2.0,13,13
118514,3.0,20,20
108288,13.0,15,29
